"fecha","mes","division","ponderacion","var_mensual","var_anio_corrido","var_anual"
2026-06-01,"Junio","Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",33.12,0.52,3.66,5.02
2026-06-01,"Junio","Bebidas Alcohólicas Y Tabaco",1.7,0.5,3.91,7.02
2026-06-01,"Junio","Bienes Y Servicios Diversos",5.36,0.3,3.97,6.12
2026-06-01,"Junio","Educación",4.41,0,5.9,7.57
2026-06-01,"Junio","Información Y Comunicación",4.33,-0.02,3.22,5.16
2026-06-01,"Junio","Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",4.19,0.26,5.59,6.22
2026-06-01,"Junio","Prendas De Vestir Y Calzado",3.98,0.43,2.39,2.98
2026-06-01,"Junio","Recreación Y Cultura",3.79,0.08,2.93,3.92
2026-06-01,"Junio","Restaurantes Y Hoteles",9.43,0.39,6.43,9.59
2026-06-01,"Junio","Salud",1.71,0.39,4.91,8.39
2026-06-01,"Junio","Transporte",12.93,0.01,4.5,5.47
2026-07-01,"Julio","Alimentos Y Bebidas No Alcohólicas",15.05,-0.13,6.41,5.82
2026-07-01,"Julio","Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",33.12,0.55,4.23,5.4
2026-07-01,"Julio","Bebidas Alcohólicas Y Tabaco",1.7,0.25,4.17,7.14
2026-07-01,"Julio","Bienes Y Servicios Diversos",5.36,-0.11,3.86,5.97
2026-07-01,"Julio","Educación",4.41,0,5.9,7.57
2026-07-01,"Julio","Información Y Comunicación",4.33,0.04,3.26,4.97
2026-07-01,"Julio","Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",4.19,0.24,5.84,6.3
2026-07-01,"Julio","Prendas De Vestir Y Calzado",3.98,0.31,2.71,3.38
2026-07-01,"Julio","Recreación Y Cultura",3.79,-0.13,2.8,3.74
2026-07-01,"Julio","Restaurantes Y Hoteles",9.43,0.3,6.75,9.53
2026-07-01,"Julio","Salud",1.71,0.38,5.31,8.37
2026-07-01,"Julio","Transporte",12.93,-0.24,4.25,5.21
